_id,day,hour,hr_value,latitude,longitude,minute,month,o2_value,second,step_value,timestamp,year
5cb58ed8c4e5a668b7ec8bba,16,16,,,,13,4,,58,0,1555402438.0,2019
5cb58ee2c4e5a668b7ec8bbe,16,16,,,,14,4,,8,0,1555402448.0,2019
5cb58eecc4e5a668b7ec8bc2,16,16,,,,14,4,,18,0,1555402458.0,2019
5cb58ef6c4e5a668b7ec8bc8,16,16,76,,,14,4,97,28,0,1555402468.0,2019
5cb58f00c4e5a668b7ec8bcc,16,16,76,,,14,4,97,38,0,1555402478.0,2019
5cb58f0ac4e5a668b7ec8bd0,16,16,76,,,14,4,97,48,0,1555402488.0,2019
5cb58f14c4e5a668b7ec8bd6,16,16,76,,,14,4,97,58,0,1555402498.0,2019
5cb58f1ec4e5a668b7ec8bdc,16,16,76,,,15,4,97,8,0,1555402508.0,2019
5cb58f28c4e5a668b7ec8be2,16,16,76,,,15,4,97,18,0,1555402518.0,2019
5cb58f32c4e5a668b7ec8be8,16,16,70,,,15,4,95,28,0,1555402528.0,2019
5cb58f3cc4e5a668b7ec8bee,16,16,70,,,15,4,95,38,0,1555402538.0,2019
5cb58f46c4e5a668b7ec8bf4,16,16,70,,,15,4,95,48,0,1555402548.0,2019
5cb58f50c4e5a668b7ec8bfa,16,16,70,,,15,4,95,58,0,1555402558.0,2019
5cb58f5ac4e5a668b7ec8c00,16,16,70,,,16,4,95,8,0,1555402568.0,2019
5cb58f64c4e5a668b7ec8c06,16,16,70,,,16,4,95,18,0,1555402578.0,2019
5cb58f6ec4e5a668b7ec8c0c,16,16,75,,,16,4,96,29,0,1555402589.0,2019
5cb58f78c4e5a668b7ec8c12,16,16,75,,,16,4,96,39,0,1555402599.0,2019
5cb58f82c4e5a668b7ec8c18,16,16,75,,,16,4,96,49,0,1555402609.0,2019
5cb58f8cc4e5a668b7ec8c1e,16,16,75,,,16,4,96,59,0,1555402619.0,2019
5cb58f96c4e5a668b7ec8c24,16,16,75,,,17,4,96,9,0,1555402629.0,2019
5cb58fa0c4e5a668b7ec8c2a,16,16,75,,,17,4,96,19,0,1555402639.0,2019
5cb58faac4e5a668b7ec8c30,16,16,75,,,17,4,96,29,0,1555402649.0,2019
5cb58fb5c4e5a668b7ec8c36,16,16,73,,,17,4,95,39,0,1555402659.0,2019
5cb58fbfc4e5a668b7ec8c3c,16,16,73,,,17,4,95,49,0,1555402669.0,2019
5cb58fc9c4e5a668b7ec8c42,16,16,73,,,17,4,95,59,0,1555402679.0,2019
